end,total_shot_number,shot_number,shooter_team,team0_stones,team1_stones,translational_velocity,angular_velocity,shot_angle
3,13,6,team0,4,3,4.007965316419365,0.0001,1.5774598398789486
3,14,7,team1,4,4,2.395655341400456,-1.570796327,1.5155623633270485
3,15,7,team0,3,4,4.0156128395751525,0.0001,1.570095842158914
3,16,8,team1,3,5,2.401066827329509,-1.570796327,1.5158110983569468
4,1,0,team0,1,0,2.3971701995088344,-15.707963267948966,1.516602141085129
4,2,1,team1,1,1,2.3961225583699637,-1.570796327,1.5190662884120223
4,3,1,team0,2,1,2.4029320962475675,15.707963267948966,1.6224376061120598
4,4,2,team1,2,2,2.391374275288963,-1.570796327,1.5128972908384528
4,5,2,team0,3,1,3.997489065891624,0.0001,1.5778609268123216
4,6,3,team1,3,2,2.388229362967785,-1.570796327,1.513664323357322
4,7,3,team0,4,1,3.989711040908718,0.0001,1.579733398742644
4,8,4,team1,4,2,2.397388966032286,-1.570796327,1.5141931416993208
4,9,4,team0,3,1,4.01628101848748,0.0001,1.5736878225062432
4,10,5,team1,3,2,2.4075648963640806,-1.570796327,1.515097011890805
4,11,5,team0,3,2,3.9992794984937334,0.0001,1.5688514968769036
4,12,6,team1,3,3,2.3878494157580348,-1.570796327,1.5173399369670875
4,13,6,team0,3,3,3.99140376098073,0.0001,1.5730971752324752
4,14,7,team1,3,4,2.392963685001582,-1.570796327,1.5137562264310935
4,15,7,team0,3,4,3.9923590788780534,0.0001,1.5665839036863591
4,16,8,team1,3,5,2.404446020717858,-1.570796327,1.5171226287652129
5,1,0,team0,1,0,2.398694650600895,-15.707963267948966,1.520494006554893
5,2,1,team1,1,1,2.3984095971735147,-1.570796327,1.5140815794141658
5,3,1,team0,2,1,2.409497669129733,15.707963267948966,1.6330666173745452
5,4,2,team1,2,2,2.4074926838510686,-1.570796327,1.5150225451032122
5,5,2,team0,2,2,3.9995168401587886,0.0001,1.5706568705940853
5,6,3,team1,2,3,2.3927366148452864,-1.570796327,1.51351329046376
5,7,3,team0,2,3,4.006061065031932,0.0001,1.5665403307748693
5,8,4,team1,2,4,2.4138386879216136,-1.570796327,1.5180179255359223
5,9,4,team0,2,4,3.9988910808955356,0.0001,1.5687848021777764
5,10,5,team1,2,5,2.3987011763325428,-1.570796327,1.5164263825500295
5,11,5,team0,2,4,4.001898108514434,0.0001,1.569020429255688
5,12,6,team1,2,5,2.4052115739710094,-1.570796327,1.515781175743277
5,13,6,team0,2,5,3.9853404498937786,0.0001,1.5665902439663293
5,14,7,team1,2,6,2.4095629383203643,-1.570796327,1.5151091490279265
5,15,7,team0,1,6,4.002869029312143,0.0001,1.573762196286859
