timestamp,end_number,shot_number,total_shot_number,next_shot_team,translational_velocity,angular_velocity,shot_angle
2026-02-25T14:31:15.722,2,5,10,team0,2.4282928250892213,1.5707963267948966,1.5716469929345713
2026-02-25T14:31:15.754,2,5,11,team1,2.397395185307117,15.707963267948966,0.058790835379538456
2026-02-25T14:31:15.818,2,6,12,team0,2.4259352658168964,1.5707963267948966,1.5713280639256269
2026-02-25T14:31:15.851,2,6,13,team1,2.3969179836169263,15.707963267948966,0.05488929533018611
2026-02-25T14:31:15.918,2,7,14,team0,2.423781929130776,1.5707963267948966,1.5711675062309818
2026-02-25T14:31:15.949,2,7,15,team1,2.4100559975216713,15.707963267948966,0.05414398672748566
2026-02-25T14:31:16.022,2,8,16,,2.425583647454139,1.5707963267948966,1.5711561257550122
2026-02-25T14:31:16.078,3,0,1,team1,2.402364975424224,15.707963267948966,0.05519987682321985
2026-02-25T14:31:16.149,3,1,2,team0,2.425290826878022,1.5707963267948966,1.5703254376772595
2026-02-25T14:31:16.181,3,1,3,team1,2.404384425233775,15.707963267948966,0.054974221388543174
2026-02-25T14:31:16.251,3,2,4,team0,2.422513224850329,1.5707963267948966,1.5676570823146
2026-02-25T14:31:16.282,3,2,5,team1,2.401865801992484,15.707963267948966,0.05353932056691133
2026-02-25T14:31:16.349,3,3,6,team0,2.4182705913692932,1.5707963267948966,1.5743417662495662
2026-02-25T14:31:16.384,3,3,7,team1,2.408884429332852,15.707963267948966,0.0527083372036592
2026-02-25T14:31:16.453,3,4,8,team0,2.431871488818151,1.5707963267948966,1.5702576836542956
2026-02-25T14:31:16.483,3,4,9,team1,2.393064989256097,15.707963267948966,0.056481083314096965
2026-02-25T14:31:16.549,3,5,10,team0,2.417948015384934,1.5707963267948966,1.5742346701065715
2026-02-25T14:31:16.581,3,5,11,team1,2.3965885525287107,15.707963267948966,0.056165463570278004
2026-02-25T14:31:16.649,3,6,12,team0,2.414033065918107,1.5707963267948966,1.5722937578700018
2026-02-25T14:31:16.681,3,6,13,team1,2.392605803955031,15.707963267948966,0.1084315527397024
2026-02-25T14:31:16.747,3,7,14,team0,2.4174408011650783,1.5707963267948966,1.572552136095885
2026-02-25T14:31:16.779,3,7,15,team1,2.3843464305492326,15.707963267948966,0.10370184178899759
