timestamp,end_number,shot_number,total_shot_number,next_shot_team,translational_velocity,angular_velocity,shot_angle,score_team0,score_team1,team1_first_x,team1_first_y,team1_nonzero_count
2026-02-25T12:40:48.323,3,3,7,team1,2.392218133202227,1.5707963267948966,0.05455803516672233,0,2,1.1569335460662842,36.146018981933594,3
2026-02-25T12:40:48.387,3,4,8,team0,2.344602277477019,1.5707963267948966,1.5994154973092114,0,2,1.2682198286056519,36.58409881591797,4
2026-02-25T12:40:48.419,3,4,9,team1,2.4042046826752306,1.5707963267948966,0.056852992943523466,0,2,1.2682198286056519,36.58409881591797,4
2026-02-25T12:40:48.481,3,5,10,team0,2.3279254430333403,1.5707963267948966,1.5974114305036287,0,2,1.2682198286056519,36.58409881591797,5
2026-02-25T12:40:48.514,3,5,11,team1,2.4143140533430687,1.5707963267948966,0.056126491507418816,0,2,1.2682198286056519,36.58409881591797,5
2026-02-25T12:40:48.579,3,6,12,team0,2.3249017044390636,1.5707963267948966,1.6000491258424583,0,2,1.2682198286056519,36.58409881591797,6
2026-02-25T12:40:48.613,3,6,13,team1,2.400384370883888,1.5707963267948966,0.05565113511780948,0,2,1.2682198286056519,36.58409881591797,6
2026-02-25T12:40:48.680,3,7,14,team0,2.329095451627936,1.5707963267948966,1.6017631315311274,0,2,1.2682198286056519,36.58409881591797,7
2026-02-25T12:40:48.715,3,7,15,team1,2.405705010501007,1.5707963267948966,0.05409011889390248,0,2,1.2682198286056519,36.58409881591797,7
2026-02-25T12:40:48.789,3,8,16,,2.320486451448276,1.5707963267948966,1.598900411033941,0,2,1.2682198286056519,36.58409881591797,8
2026-02-25T12:40:48.833,4,0,1,team1,2.4032888979761267,1.5707963267948966,0.055231535289458095,0,2,0.0,0.0,0
2026-02-25T12:40:48.895,4,1,2,team0,2.3325387471810073,1.5707963267948966,1.6016697229190076,0,2,0.8389507532119751,35.987457275390625,1
2026-02-25T12:40:48.929,4,1,3,team1,2.4068659810820336,1.5707963267948966,0.05324871370375191,0,2,0.8389507532119751,35.987457275390625,1
2026-02-25T12:40:48.996,4,2,4,team0,2.334613813736047,1.5707963267948966,1.5994146835565144,0,2,0.8624983429908752,36.33328628540039,2
2026-02-25T12:40:49.037,4,2,5,team1,2.408607642855826,1.5707963267948966,0.054866358931298945,0,2,0.8624983429908752,36.33328628540039,2
