idx,ts,shooter,tv,av,sa,team0_house,team1_house,team0_score,team1_score
23,2026-02-25T17:00:01.052,team0,2.4214952865580055,1.5707963267948966,1.570409816590698,0,0,,
24,2026-02-25T17:00:01.082,team1,2.396579505410971,15.707963267948966,0.054404648167865846,0,0,,
25,2026-02-25T17:00:01.153,team0,2.4239280267474044,1.5707963267948966,1.5687368266845239,0,0,,
26,2026-02-25T17:00:01.185,team1,2.3921194687299434,15.707963267948966,0.05764283834325229,0,0,,
27,2026-02-25T17:00:01.255,team0,2.4233554810644096,1.5707963267948966,1.5716227925320199,0,0,,
28,2026-02-25T17:00:01.288,team1,2.3959885296235757,15.707963267948966,0.054605532784888354,0,0,,
29,2026-02-25T17:00:01.351,team0,2.417854815760809,1.5707963267948966,1.5736563870923588,0,0,,
30,2026-02-25T17:00:01.382,team1,2.4157133019602726,15.707963267948966,0.0577383970570935,0,0,,
31,2026-02-25T17:00:01.451,unknown,2.4136253739485154,1.5707963267948966,1.5678912877569984,0,0,,
32,2026-02-25T17:00:01.496,team1,2.4023756065871527,15.707963267948966,0.05511672378770872,0,0,,
33,2026-02-25T17:00:01.576,team0,2.412327546328268,1.5707963267948966,1.5708078446550464,0,0,,
34,2026-02-25T17:00:01.616,team1,2.407355283555802,15.707963267948966,0.05598660758653054,0,0,,
35,2026-02-25T17:00:01.694,team0,2.4274624624563397,1.5707963267948966,1.5689175491012683,0,0,,
36,2026-02-25T17:00:01.727,team1,2.40663449678532,15.707963267948966,0.05698477248960188,0,0,,
37,2026-02-25T17:00:01.802,team0,2.431082143498922,1.5707963267948966,1.5704062773769194,0,0,,
38,2026-02-25T17:00:01.833,team1,2.4031960932539134,15.707963267948966,0.05213791585047571,0,0,,
39,2026-02-25T17:00:01.902,team0,2.4205074980629857,1.5707963267948966,1.5729649753587438,0,0,,
40,2026-02-25T17:00:01.937,team1,2.40424323073546,15.707963267948966,0.05302156240770154,0,0,,
41,2026-02-25T17:00:02.001,team0,2.41708417164143,1.5707963267948966,1.5694373390940735,0,0,,
42,2026-02-25T17:00:02.034,team1,2.410047400565963,15.707963267948966,0.0540692300572946,0,0,,
43,2026-02-25T17:00:02.097,team0,2.4182948986390693,1.5707963267948966,1.567399450474853,0,0,,
44,2026-02-25T17:00:02.130,team1,2.4076536533510553,15.707963267948966,0.05443690126230214,0,0,,
45,2026-02-25T17:00:02.198,team0,2.4141609325459723,1.5707963267948966,1.5706289528020558,0,0,,
46,2026-02-25T17:00:02.230,team1,2.3962757610396683,15.707963267948966,0.05548187254342319,0,0,,
47,2026-02-25T17:00:02.299,unknown,2.426425527981054,1.5707963267948966,1.5705624299164884,0,0,,
48,2026-02-25T17:00:02.344,team1,2.4021710948272776,15.707963267948966,0.054740842330181345,0,0,,
49,2026-02-25T17:00:02.408,team0,2.4056576291920204,1.5707963267948966,1.5683163054333444,0,0,,
50,2026-02-25T17:00:02.443,team1,2.38706594809805,15.707963267948966,0.0534111315925176,0,0,,
51,2026-02-25T17:00:02.507,team0,2.416769168541463,1.5707963267948966,1.573804741090672,0,0,,
52,2026-02-25T17:00:02.543,team1,2.4027432811077016,15.707963267948966,0.05447235665601077,0,0,,
53,2026-02-25T17:00:02.610,team0,2.411120794547153,1.5707963267948966,1.5722988522986592,0,0,,
54,2026-02-25T17:00:02.644,team1,2.386570145909463,15.707963267948966,0.05681716410851901,0,0,,
55,2026-02-25T17:00:02.710,team0,2.427360683731214,1.5707963267948966,1.5722225492172786,0,0,,
56,2026-02-25T17:00:02.753,team1,2.40384807030847,15.707963267948966,0.056459643774468514,0,0,,
57,2026-02-25T17:00:02.814,team0,2.4201088676954816,1.5707963267948966,1.567369338306898,0,0,,
58,2026-02-25T17:00:02.849,team1,2.4046262419435416,15.707963267948966,0.05319666220326063,0,0,,
59,2026-02-25T17:00:02.919,team0,2.4182423531422588,1.5707963267948966,1.5698009013384275,0,0,,
60,2026-02-25T17:00:02.951,team1,2.423439564760676,15.707963267948966,0.09736406227139485,0,0,,
61,2026-02-25T17:00:03.017,team0,2.3378556616783963,1.5707963267948966,1.5705681116390526,0,0,,
62,2026-02-25T17:00:03.048,team1,2.416350116779279,15.707963267948966,0.09836385185858612,0,0,,
