shot,timestamp,tx,ty,matched_x,matched_y,v,angle,omega,outcome,note
7,2026-02-25T10:57:08.321000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
8,2026-02-25T10:57:08.391000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
1,2026-02-25T10:57:08.471000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
2,2026-02-25T10:57:08.540000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
3,2026-02-25T10:57:08.610000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
4,2026-02-25T10:57:08.676000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
5,2026-02-25T10:57:08.745000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
6,2026-02-25T10:57:08.816000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
7,2026-02-25T10:57:08.881000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
8,2026-02-25T10:57:08.949000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
1,2026-02-25T10:57:09.030000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
2,2026-02-25T10:57:09.098000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
3,2026-02-25T10:57:09.186000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
4,2026-02-25T10:57:09.260000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
5,2026-02-25T10:57:09.326000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
6,2026-02-25T10:57:09.390000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
7,2026-02-25T10:57:09.461000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
8,2026-02-25T10:57:09.529000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
1,2026-02-25T10:57:09.611000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
2,2026-02-25T10:57:09.677000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
3,2026-02-25T10:57:09.745000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
4,2026-02-25T10:57:09.816000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
5,2026-02-25T10:57:09.882000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
6,2026-02-25T10:57:09.949000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
7,2026-02-25T10:57:10.018000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
8,2026-02-25T10:57:10.085000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
1,2026-02-25T10:57:10.201000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
2,2026-02-25T10:57:10.281000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
3,2026-02-25T10:57:10.352000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
4,2026-02-25T10:57:10.418000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
5,2026-02-25T10:57:10.483000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
6,2026-02-25T10:57:10.549000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
7,2026-02-25T10:57:10.617000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
8,2026-02-25T10:57:10.682000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
1,2026-02-25T10:57:10.761000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
2,2026-02-25T10:57:10.829000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
3,2026-02-25T10:57:10.895000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
4,2026-02-25T10:57:10.963000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
5,2026-02-25T10:57:11.031000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
6,2026-02-25T10:57:11.097000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
7,2026-02-25T10:57:11.163000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
8,2026-02-25T10:57:11.239000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
1,2026-02-25T10:57:11.338000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
2,2026-02-25T10:57:11.405000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
3,2026-02-25T10:57:11.473000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
4,2026-02-25T10:57:11.541000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
5,2026-02-25T10:57:11.608000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
6,2026-02-25T10:57:11.675000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
7,2026-02-25T10:57:11.742000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
8,2026-02-25T10:57:11.811000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
1,2026-02-25T10:57:11.890000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
2,2026-02-25T10:57:11.959000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
3,2026-02-25T10:57:12.034000,0.0,38.41,0.015,38.404,2.4036,0.0549,15.708,no-snapshot,
